Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude
"SV Hospital (A Unit Of Healthcare 
Alliance)",ANANTPUR,ANDHRA PRADESH,,,,,
Kims Saveera Hospital Pvt Ltd,ANANTPUR,ANDHRA PRADESH,4.9,19172.0,"MH4M+5J Anantapur, Andhra Pradesh",14.6554375,77.5814929
Aashraya Multi Specialty Hospital,CHITOOR,ANDHRA PRADESH,3.9,139.0,"64G5+PC Chittoor, Andhra Pradesh",13.2268125,79.1059929
Aragonda Apollo Hospitals,Chittoor,ANDHRA PRADESH,4.0,92.0,"7XM4+37 Aragonda, Andhra Pradesh",13.2826875,78.9531179
Apollo Samudra Hospitals(Kakinada),East Godavari,ANDHRA PRADESH,4.8,8090.0,"X66P+68 Kakinada, Andhra Pradesh",16.9605625,82.2332429
Swatantra Hospitals Pvt Ltd,East Godavari,ANDHRA PRADESH,4.4,467.0,"2Q7H+P2 Rajamahendravaram, Andhra Pradesh",,
Prof D Ramakotaiah Children Hospital,GUNTUR,ANDHRA PRADESH,4.8,1121.0,"7CVX+RM Guntur, Andhra Pradesh",16.2945625,80.4466179
Padmavathy Superspeciality Hospital,GUNTUR,ANDHRA PRADESH,4.5,479.0,,,
Sri Datta Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.6,940.0,"62JW+79 Narasaraopeta, Andhra Pradesh",16.2606875,80.0483679
Sri Vasudha Hospitals,GUNTUR,ANDHRA PRADESH,4.1,35.0,"7FX2+78 Guntur, Andhra Pradesh",,
Tulasi Multi Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.8,1989.0,"7FX3+CM Guntur, Andhra Pradesh",16.2981875,80.4482429
Sravani Hospital,GUNTUR,ANDHRA PRADESH,4.3,439.0,"7FW2+PH Guntur, Andhra Pradesh",,
Vedanta Hospitals,GUNTUR,ANDHRA PRADESH,4.0,392.0,"8F47+VC Guntur, Andhra Pradesh",16.2981835,80.4096984
NRI General Hospital,GUNTUR,ANDHRA PRADESH,3.0,599.0,"CH75+X26 Guntur, Andhra Pradesh",16.4149125,80.554946
St Joseph General Hospital,GUNTUR,ANDHRA PRADESH,3.1,211.0,"7CXR+2F3 Guntur, Andhra Pradesh",16.2975125,80.4386023
Palnadu Hospitals,GUNTUR,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh",16.2975125,80.4386023
Vunnam Hospitals,GUNTUR,ANDHRA PRADESH,3.4,76.0,"FVHV+M5 Piduguralla, Andhra Pradesh",16.4791875,79.8903679
Sri Balaji Hospital Guntur,GUNTUR,ANDHRA PRADESH,4.8,792.0,"7FX2+C6 Guntur, Andhra Pradesh",16.2985625,80.4479929
A1 Hospitals,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh",16.2985625,80.4479929
Praja Vidyasala Multi Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.7,317.0,"8CC7+2P Guntur, Andhra Pradesh",16.3200625,80.4117429
Help Hospital,GUNTUR,ANDHRA PRADESH,4.4,281.0,"8C3V+VQ Guntur, Andhra Pradesh",16.3046875,80.4418679
Sri Srinivasa Mother and Child Hospital,GUNTUR,ANDHRA PRADESH,4.0,34.0,"62QW+4H Narasaraopeta, Andhra Pradesh",16.2378125,80.0438679
Amar Orthopaedic Hospital,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh",16.2979375,80.4494929
Amma Children Hospital,GUNTUR,ANDHRA PRADESH,4.3,116.0,"7FW3+J5 Guntur, Andhra Pradesh",16.2965625,80.4503679
Aruna Hospital(Tenali),Guntur,ANDHRA PRADESH,4.3,15.0,,,
C V R Hospital,Guntur,ANDHRA PRADESH,3.3,122.0,"7CXW+62 Guntur, Andhra Pradesh",16.2980625,80.4424929
Coastal Care Hospital,Guntur,ANDHRA PRADESH,4.6,443.0,"7FX4+36 Guntur, Andhra Pradesh",16.2980625,80.4424929
Dhulipalla Hospital,Guntur,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh",16.3001875,80.4474929
Health Hospitals,GUNTUR,ANDHRA PRADESH,4.8,19688.0,"7CVV+72 Guntur, Andhra Pradesh",16.2931875,80.4399929
Hyma Hospital,Guntur,ANDHRA PRADESH,3.2,161.0,"8C59+5H5 Guntur, Andhra Pradesh",16.3078875,80.4164148
J K Hospital ( Guntur ),Guntur,ANDHRA PRADESH,5.0,2.0,"8C7V+G3 Guntur, Andhra Pradesh",16.3138125,80.4401179
"Karumuri Super Speciality Hospital (P) 
Ltd.",Guntur,ANDHRA PRADESH,2.7,168.0,"7FX3+CG Guntur, Andhra Pradesh",16.2985625,80.4512429
Lakshmi Srinivasa Hospital,Guntur,ANDHRA PRADESH,4.3,28.0,"7FX4+CW Guntur, Andhra Pradesh",16.2985625,80.4547429
Lalitha Super Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.4,2171.0,"7CWX+5X Guntur, Andhra Pradesh",16.2954375,80.4473679
M N Hospital,Guntur,ANDHRA PRADESH,2.4,76.0,"8C2M+XH Guntur, Andhra Pradesh",16.3024375,80.4313679
"Mother Teresa Orthopaedic And Accident 
Care Hospital",Guntur,ANDHRA PRADESH,3.9,9.0,,,
Sree Prathima Super Speciality Hospital,Guntur,ANDHRA PRADESH,4.5,479.0,"7FX4+R8M Guntur, Andhra Pradesh",16.2995875,80.4532273
Star Hospital,Guntur,ANDHRA PRADESH,4.0,45.0,"7FX3+PF Guntur, Andhra Pradesh",16.3104622,80.4516392
V Cardiac And Multi Speciality Hospital,Guntur,ANDHRA PRADESH,5.0,11.0,"7CWX+QV Guntur, Andhra Pradesh",16.2969375,80.4471179
Varababu Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,3.2,13.0,"62HW+6J Narasaraopeta, Andhra Pradesh",16.2280625,80.0439929
Omega Hospital,GUNTUR,ANDHRA PRADESH,4.1,439.0,"8F8C+GR Guntur, Andhra Pradesh",16.3163125,80.4694929
Blossoms Childrens Hospital,GUNTUR,ANDHRA PRADESH,4.5,859.0,"7FX2+HJ Guntur, Andhra Pradesh",16.2989375,80.4489929
Lahiri Hospital,GUNTUR,ANDHRA PRADESH,2.8,32.0,,,
Bharathi Hospital,KADAPA,ANDHRA PRADESH,4.0,143.0,"FR6F+8F Kadapa, Andhra Pradesh",14.4608125,78.8211179
Mrudula Hospital,KADAPA,ANDHRA PRADESH,3.7,180.0,"FR6F+VM Kadapa, Andhra Pradesh",,
