Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude,Effective Rating
"SV Hospital (A Unit Of Healthcare 
Alliance)",ANANTPUR,ANDHRA PRADESH,4.1,228.5,,14.6554375,77.5814929,2.134461682575174
Kims Saveera Hospital Pvt Ltd,ANANTPUR,ANDHRA PRADESH,4.9,19172.0,"MH4M+5J Anantapur, Andhra Pradesh",14.6554375,77.5814929,4.707686679547035
Aashraya Multi Specialty Hospital,CHITOOR,ANDHRA PRADESH,3.9,139.0,"64G5+PC Chittoor, Andhra Pradesh",13.2268125,79.1059929,1.8364644538241097
Aragonda Apollo Hospitals,Chittoor,ANDHRA PRADESH,4.0,92.0,"7XM4+37 Aragonda, Andhra Pradesh",13.2826875,78.9531179,1.7235828680974687
Apollo Samudra Hospitals(Kakinada),East Godavari,ANDHRA PRADESH,4.8,8090.0,"X66P+68 Kakinada, Andhra Pradesh",16.9605625,82.2332429,4.200876465403183
Swatantra Hospitals Pvt Ltd,East Godavari,ANDHRA PRADESH,4.4,467.0,"2Q7H+P2 Rajamahendravaram, Andhra Pradesh",16.2945625,80.4466179,2.605562095987805
Prof D Ramakotaiah Children Hospital,GUNTUR,ANDHRA PRADESH,4.8,1121.0,"7CVX+RM Guntur, Andhra Pradesh",16.2945625,80.4466179,3.263523627660283
Padmavathy Superspeciality Hospital,GUNTUR,ANDHRA PRADESH,4.5,479.0,,16.2606875,80.0483679,2.6775979637639704
Sri Datta Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.6,940.0,"62JW+79 Narasaraopeta, Andhra Pradesh",16.2606875,80.0483679,3.044698039908695
Sri Vasudha Hospitals,GUNTUR,ANDHRA PRADESH,4.1,35.0,"7FX2+78 Guntur, Andhra Pradesh",16.2981875,80.4482429,1.383757122412847
Tulasi Multi Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.8,1989.0,"7FX3+CM Guntur, Andhra Pradesh",16.2981875,80.4482429,3.535396928927314
Sravani Hospital,GUNTUR,ANDHRA PRADESH,4.3,439.0,"7FW2+PH Guntur, Andhra Pradesh",16.2981835,80.4096984,2.5185658379136733
Vedanta Hospitals,GUNTUR,ANDHRA PRADESH,4.0,392.0,"8F47+VC Guntur, Andhra Pradesh",16.2981835,80.4096984,2.2934078019866377
NRI General Hospital,GUNTUR,ANDHRA PRADESH,3.0,599.0,"CH75+X26 Guntur, Andhra Pradesh",16.4149125,80.554946,1.8283970828424703
St Joseph General Hospital,GUNTUR,ANDHRA PRADESH,3.1,211.0,"7CXR+2F3 Guntur, Andhra Pradesh",16.2975125,80.4386023,1.5728463597024904
Palnadu Hospitals,GUNTUR,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh",16.2975125,80.4386023,0.8140092439209872
Vunnam Hospitals,GUNTUR,ANDHRA PRADESH,3.4,76.0,"FVHV+M5 Piduguralla, Andhra Pradesh",16.4791875,79.8903679,1.3913198215239073
Sri Balaji Hospital Guntur,GUNTUR,ANDHRA PRADESH,4.8,792.0,"7FX2+C6 Guntur, Andhra Pradesh",16.2985625,80.4479929,3.0988663183291036
A1 Hospitals,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh",16.2985625,80.4479929,2.8215218116280347
Praja Vidyasala Multi Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.7,317.0,"8CC7+2P Guntur, Andhra Pradesh",16.3200625,80.4117429,2.6083674120804843
Help Hospital,GUNTUR,ANDHRA PRADESH,4.4,281.0,"8C3V+VQ Guntur, Andhra Pradesh",16.3046875,80.4418679,2.3852497806183175
Sri Srinivasa Mother and Child Hospital,GUNTUR,ANDHRA PRADESH,4.0,34.0,"62QW+4H Narasaraopeta, Andhra Pradesh",16.2378125,80.0438679,1.33719768719334
Amar Orthopaedic Hospital,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh",16.2979375,80.4494929,2.8215218116280347
Amma Children Hospital,GUNTUR,ANDHRA PRADESH,4.3,116.0,"7FW3+J5 Guntur, Andhra Pradesh",16.2965625,80.4503679,1.9555668413282077
Aruna Hospital(Tenali),Guntur,ANDHRA PRADESH,4.3,15.0,,16.2980625,80.4424929,1.1099275476182342
C V R Hospital,Guntur,ANDHRA PRADESH,3.3,122.0,"7CXW+62 Guntur, Andhra Pradesh",16.2980625,80.4424929,1.5011631592464154
Coastal Care Hospital,Guntur,ANDHRA PRADESH,4.6,443.0,"7FX4+36 Guntur, Andhra Pradesh",16.2980625,80.4424929,2.703174620656601
Dhulipalla Hospital,Guntur,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh",16.3001875,80.4474929,0.8140092439209872
Health Hospitals,GUNTUR,ANDHRA PRADESH,4.8,19688.0,"7CVV+72 Guntur, Andhra Pradesh",16.2931875,80.4399929,4.622813338113168
Hyma Hospital,Guntur,ANDHRA PRADESH,3.2,161.0,"8C59+5H5 Guntur, Andhra Pradesh",16.3078875,80.4164148,1.5407109836951554
J K Hospital ( Guntur ),Guntur,ANDHRA PRADESH,5.0,2.0,"8C7V+G3 Guntur, Andhra Pradesh",16.3138125,80.4401179,0.47444692344711425
"Karumuri Super Speciality Hospital (P) 
Ltd.",Guntur,ANDHRA PRADESH,2.7,168.0,"7FX3+CG Guntur, Andhra Pradesh",16.2985625,80.4512429,1.3005592810058773
Lakshmi Srinivasa Hospital,Guntur,ANDHRA PRADESH,4.3,28.0,"7FX4+CW Guntur, Andhra Pradesh",16.2985625,80.4547429,1.3626976704483265
Lalitha Super Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.4,2171.0,"7CWX+5X Guntur, Andhra Pradesh",16.2954375,80.4473679,3.2731322769774183
M N Hospital,Guntur,ANDHRA PRADESH,2.4,76.0,"8C2M+XH Guntur, Andhra Pradesh",16.3024375,80.4313679,0.9619569192670891
"Mother Teresa Orthopaedic And Accident 
Care Hospital",Guntur,ANDHRA PRADESH,3.9,9.0,,16.2995875,80.4532273,0.8191210195616849
Sree Prathima Super Speciality Hospital,Guntur,ANDHRA PRADESH,4.5,479.0,"7FX4+R8M Guntur, Andhra Pradesh",16.2995875,80.4532273,2.6775979637639704
Star Hospital,Guntur,ANDHRA PRADESH,4.0,45.0,"7FX3+PF Guntur, Andhra Pradesh",16.3104622,80.4516392,1.4452522689133775
V Cardiac And Multi Speciality Hospital,Guntur,ANDHRA PRADESH,5.0,11.0,"7CWX+QV Guntur, Andhra Pradesh",16.2969375,80.4471179,1.1595873849398515
Varababu Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,3.2,13.0,"62HW+6J Narasaraopeta, Andhra Pradesh",16.2280625,80.0439929,0.7662292845275877
Omega Hospital,GUNTUR,ANDHRA PRADESH,4.1,439.0,"8F8C+GR Guntur, Andhra Pradesh",16.3163125,80.4694929,2.3982365409805126
Blossoms Childrens Hospital,GUNTUR,ANDHRA PRADESH,4.5,859.0,"7FX2+HJ Guntur, Andhra Pradesh",16.2989375,80.4489929,2.936982560310293
Lahiri Hospital,GUNTUR,ANDHRA PRADESH,2.8,32.0,,14.4608125,78.8211179,0.8991991380195063
Bharathi Hospital,KADAPA,ANDHRA PRADESH,4.0,143.0,"FR6F+8F Kadapa, Andhra Pradesh",14.4608125,78.8211179,1.896448243593327
Mrudula Hospital,KADAPA,ANDHRA PRADESH,3.7,180.0,"FR6F+VM Kadapa, Andhra Pradesh",14.4621875,78.8216179,1.8327116665649468
Vidyasagar Hospital,KADAPA,ANDHRA PRADESH,4.9,1889.0,"FR7G+28 Kadapa, Andhra Pradesh",14.4621875,78.8216179,3.5855069039402503
Suraksha Super Speciality Hospital,KADAPA,ANDHRA PRADESH,3.3,57.0,"FR9J+CR Kadapa, Andhra Pradesh",14.4625625,78.8232429,1.2559540886484646
Sri Srinivasa Hospital,KADAPA,ANDHRA PRADESH,3.4,78.0,"FRFF+36 Kadapa, Andhra Pradesh",14.4685625,78.8294929,1.3999375391754578
Kadapa Hospitals,KADAPA,ANDHRA PRADESH,2.9,114.0,"FRGF+2H Kadapa, Andhra Pradesh",14.4750625,78.8213679,1.2916213955186377
Hope International Hospital,Kakinada,ANDHRA PRADESH,4.8,5899.0,"26FJ+PW Kakinada, Andhra Pradesh",17.0243125,82.2297429,4.051043459254141
"Trust Hospital - A Unit Of Sarvottam 
Healthcare Pvt Ltd",KAKINADA,ANDHRA PRADESH,4.8,1841.0,"X6XH+97 Kakinada, Andhra Pradesh",15.8235625,78.0389929,3.498729734301544
"Omni Hospital (A Unit Of Incor 
Padmachandra Hospitals Pvt Ltd)",Kurnool,ANDHRA PRADESH,4.7,1584.0,"R2FR+CJ Kurnool, Andhra Pradesh",15.8235625,78.0389929,3.3546022320517257
Omega Hospital,KURNOOL,ANDHRA PRADESH,3.6,414.0,"Q3W7+5F Kurnool, Andhra Pradesh",15.7954375,78.0611179,2.07659791787487
Agraseni Hospital,KURNOOL,ANDHRA PRADESH,3.2,84.0,"R27R+VQ Kurnool, Andhra Pradesh",15.4860625,78.4737429,1.3367125342900072
GNR Hospital,KURNOOL,ANDHRA PRADESH,4.2,100.0,"R27Q+33 Kurnool, Andhra Pradesh",15.4860625,78.4737429,1.8474461908144257
Kims Rainbow Hospital Pvt Ltd,KURNOOL,ANDHRA PRADESH,4.7,7615.0,"R374+7R Kurnool, Andhra Pradesh",15.4860625,78.4737429,4.0838238086629755
Sai Vani Hospital,NANDYAL,ANDHRA PRADESH,3.4,52.0,"FFPG+CG Nandyala, Andhra Pradesh",15.4860625,78.4737429,1.265792175485987
