Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude,Effective Rating,Radius of Influence
"SV Hospital (A Unit Of Healthcare 
Alliance)",ANANTPUR,ANDHRA PRADESH,4.1,228.5,,14.696532573816466,77.5845696812239,2.134461682575174,0.21344616825751742
Kims Saveera Hospital Pvt Ltd,ANANTPUR,ANDHRA PRADESH,4.9,19172.0,"MH4M+5J Anantapur, Andhra Pradesh",14.660634599686997,77.57934210631872,4.707686679547035,0.47076866795470357
Aashraya Multi Specialty Hospital,CHITOOR,ANDHRA PRADESH,3.9,139.0,"64G5+PC Chittoor, Andhra Pradesh",13.229217171761988,79.08447238508815,1.8364644538241095,0.18364644538241096
Aragonda Apollo Hospitals,Chittoor,ANDHRA PRADESH,4.0,92.0,"7XM4+37 Aragonda, Andhra Pradesh",13.303435180892293,78.97211670732672,1.7235828680974687,0.17235828680974688
Apollo Samudra Hospitals(Kakinada),East Godavari,ANDHRA PRADESH,4.8,8090.0,"X66P+68 Kakinada, Andhra Pradesh",16.970994716195186,82.2303962455134,4.200876465403183,0.42008764654031827
Swatantra Hospitals Pvt Ltd,East Godavari,ANDHRA PRADESH,4.4,467.0,"2Q7H+P2 Rajamahendravaram, Andhra Pradesh",16.33095886027219,80.4615551422084,2.605562095987805,0.2605562095987805
Prof D Ramakotaiah Children Hospital,GUNTUR,ANDHRA PRADESH,4.8,1121.0,"7CVX+RM Guntur, Andhra Pradesh",16.304665371173602,80.42615157785502,3.263523627660283,0.3263523627660283
Padmavathy Superspeciality Hospital,GUNTUR,ANDHRA PRADESH,4.5,479.0,,16.299439227373856,80.02127093796369,2.6775979637639704,0.2677597963763971
Sri Datta Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.6,940.0,"62JW+79 Narasaraopeta, Andhra Pradesh",16.27782019913075,80.03962179597357,3.044698039908695,0.30446980399086954
Sri Vasudha Hospitals,GUNTUR,ANDHRA PRADESH,4.1,35.0,"7FX2+78 Guntur, Andhra Pradesh",16.338983834280008,80.55891798770435,1.383757122412847,0.13837571224128473
Tulasi Multi Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.8,1989.0,"7FX3+CM Guntur, Andhra Pradesh",16.276937603022017,80.43699795995973,3.535396928927314,0.35353969289273146
Sravani Hospital,GUNTUR,ANDHRA PRADESH,4.3,439.0,"7FW2+PH Guntur, Andhra Pradesh",16.35681097694647,80.41093695828027,2.5185658379136733,0.25185658379136733
Vedanta Hospitals,GUNTUR,ANDHRA PRADESH,4.0,392.0,"8F47+VC Guntur, Andhra Pradesh",16.248378192058112,80.36956293029205,2.2934078019866377,0.22934078019866377
NRI General Hospital,GUNTUR,ANDHRA PRADESH,3.0,599.0,"CH75+X26 Guntur, Andhra Pradesh",16.39529729071638,80.50233162057708,1.8283970828424705,0.18283970828424706
St Joseph General Hospital,GUNTUR,ANDHRA PRADESH,3.1,211.0,"7CXR+2F3 Guntur, Andhra Pradesh",16.250507659236455,80.35677880705212,1.5728463597024904,0.15728463597024905
Palnadu Hospitals,GUNTUR,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh",16.23115384908339,80.48399400837442,0.8140092439209872,0.08140092439209873
Vunnam Hospitals,GUNTUR,ANDHRA PRADESH,3.4,76.0,"FVHV+M5 Piduguralla, Andhra Pradesh",16.486378855179915,80.04728021729382,1.391319821523907,0.13913198215239073
Sri Balaji Hospital Guntur,GUNTUR,ANDHRA PRADESH,4.8,792.0,"7FX2+C6 Guntur, Andhra Pradesh",16.284372299701715,80.40853384583733,3.098866318329104,0.30988663183291043
A1 Hospitals,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh",16.314286291683274,80.4597193136164,2.8215218116280347,0.2821521811628035
Praja Vidyasala Multi Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.7,317.0,"8CC7+2P Guntur, Andhra Pradesh",16.3243416329625,80.41280052571909,2.6083674120804843,0.26083674120804845
Help Hospital,GUNTUR,ANDHRA PRADESH,4.4,281.0,"8C3V+VQ Guntur, Andhra Pradesh",16.29513292333803,80.4316695289919,2.385249780618317,0.2385249780618317
Sri Srinivasa Mother and Child Hospital,GUNTUR,ANDHRA PRADESH,4.0,34.0,"62QW+4H Narasaraopeta, Andhra Pradesh",16.200465367682924,80.00290279776303,1.33719768719334,0.133719768719334
Amar Orthopaedic Hospital,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh",16.30249851437953,80.43413724244195,2.8215218116280347,0.2821521811628035
Amma Children Hospital,GUNTUR,ANDHRA PRADESH,4.3,116.0,"7FW3+J5 Guntur, Andhra Pradesh",16.250142607358754,80.37129326808581,1.955566841328208,0.1955566841328208
Aruna Hospital(Tenali),Guntur,ANDHRA PRADESH,4.3,15.0,,16.34687162003222,80.55983634446578,1.1099275476182342,0.11099275476182342
C V R Hospital,Guntur,ANDHRA PRADESH,3.3,122.0,"7CXW+62 Guntur, Andhra Pradesh",16.410068089043385,80.40154284396147,1.5011631592464154,0.15011631592464156
Coastal Care Hospital,Guntur,ANDHRA PRADESH,4.6,443.0,"7FX4+36 Guntur, Andhra Pradesh",16.307280099983082,80.42794990894367,2.703174620656601,0.2703174620656601
Dhulipalla Hospital,Guntur,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh",16.337919417440453,79.95152324445125,0.8140092439209872,0.08140092439209873
Health Hospitals,GUNTUR,ANDHRA PRADESH,4.8,19688.0,"7CVV+72 Guntur, Andhra Pradesh",16.301770681777008,80.44456970332085,4.622813338113168,0.46228133381131686
Hyma Hospital,Guntur,ANDHRA PRADESH,3.2,161.0,"8C59+5H5 Guntur, Andhra Pradesh",16.38517875460687,80.30051259374858,1.5407109836951554,0.15407109836951555
J K Hospital ( Guntur ),Guntur,ANDHRA PRADESH,5.0,2.0,"8C7V+G3 Guntur, Andhra Pradesh",16.066828712528896,80.42686360085742,0.4744469234471142,0.04744469234471142
"Karumuri Super Speciality Hospital (P) 
Ltd.",Guntur,ANDHRA PRADESH,2.7,168.0,"7FX3+CG Guntur, Andhra Pradesh",16.30284318872382,80.51240553090143,1.3005592810058773,0.13005592810058772
Lakshmi Srinivasa Hospital,Guntur,ANDHRA PRADESH,4.3,28.0,"7FX4+CW Guntur, Andhra Pradesh",16.353511834690217,80.39153042579285,1.3626976704483265,0.13626976704483265
Lalitha Super Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.4,2171.0,"7CWX+5X Guntur, Andhra Pradesh",16.337472725646204,80.44539567392478,3.2731322769774183,0.32731322769774185
M N Hospital,Guntur,ANDHRA PRADESH,2.4,76.0,"8C2M+XH Guntur, Andhra Pradesh",16.240588758064305,80.1089528676354,0.9619569192670891,0.09619569192670892
"Mother Teresa Orthopaedic And Accident 
Care Hospital",Guntur,ANDHRA PRADESH,3.9,9.0,,16.45554293378526,80.50209767997183,0.8191210195616849,0.08191210195616849
Sree Prathima Super Speciality Hospital,Guntur,ANDHRA PRADESH,4.5,479.0,"7FX4+R8M Guntur, Andhra Pradesh",16.273210095236287,80.46126205700541,2.6775979637639704,0.2677597963763971
Star Hospital,Guntur,ANDHRA PRADESH,4.0,45.0,"7FX3+PF Guntur, Andhra Pradesh",16.37446863527412,80.52953321710174,1.4452522689133775,0.14452522689133776
V Cardiac And Multi Speciality Hospital,Guntur,ANDHRA PRADESH,5.0,11.0,"7CWX+QV Guntur, Andhra Pradesh",16.37496436323442,80.31089032511025,1.1595873849398517,0.11595873849398518
Varababu Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,3.2,13.0,"62HW+6J Narasaraopeta, Andhra Pradesh",16.38769581036906,80.08647938453377,0.7662292845275877,0.07662292845275877
Omega Hospital,GUNTUR,ANDHRA PRADESH,4.1,439.0,"8F8C+GR Guntur, Andhra Pradesh",16.3126256896706,80.47413895638394,2.3982365409805126,0.2398236540980513
Blossoms Childrens Hospital,GUNTUR,ANDHRA PRADESH,4.5,859.0,"7FX2+HJ Guntur, Andhra Pradesh",16.3434197397175,80.44037332268107,2.936982560310293,0.2936982560310293
Lahiri Hospital,GUNTUR,ANDHRA PRADESH,2.8,32.0,,14.341428353881547,78.77691679863644,0.8991991380195063,0.08991991380195063
Bharathi Hospital,KADAPA,ANDHRA PRADESH,4.0,143.0,"FR6F+8F Kadapa, Andhra Pradesh",14.466520400587793,78.84326319114953,1.896448243593327,0.18964482435933272
Mrudula Hospital,KADAPA,ANDHRA PRADESH,3.7,180.0,"FR6F+VM Kadapa, Andhra Pradesh",14.484706992506535,78.80586845894406,1.8327116665649468,0.18327116665649468
Vidyasagar Hospital,KADAPA,ANDHRA PRADESH,4.9,1889.0,"FR7G+28 Kadapa, Andhra Pradesh",14.470661640087528,78.82192448770056,3.5855069039402503,0.35855069039402504
Suraksha Super Speciality Hospital,KADAPA,ANDHRA PRADESH,3.3,57.0,"FR9J+CR Kadapa, Andhra Pradesh",14.458795384994133,78.83310235486508,1.2559540886484646,0.12559540886484646
Sri Srinivasa Hospital,KADAPA,ANDHRA PRADESH,3.4,78.0,"FRFF+36 Kadapa, Andhra Pradesh",14.505292878714705,78.75341414085172,1.3999375391754578,0.1399937539175458
Kadapa Hospitals,KADAPA,ANDHRA PRADESH,2.9,114.0,"FRGF+2H Kadapa, Andhra Pradesh",14.469167252919728,78.81863393078899,1.2916213955186375,0.12916213955186376
Hope International Hospital,Kakinada,ANDHRA PRADESH,4.8,5899.0,"26FJ+PW Kakinada, Andhra Pradesh",17.033348253057497,82.22018896672532,4.051043459254141,0.40510434592541417
"Trust Hospital - A Unit Of Sarvottam 
Healthcare Pvt Ltd",KAKINADA,ANDHRA PRADESH,4.8,1841.0,"X6XH+97 Kakinada, Andhra Pradesh",15.827262948027276,78.04021836041206,3.498729734301544,0.34987297343015444
"Omni Hospital (A Unit Of Incor 
Padmachandra Hospitals Pvt Ltd)",Kurnool,ANDHRA PRADESH,4.7,1584.0,"R2FR+CJ Kurnool, Andhra Pradesh",15.833251856909897,78.03491913940833,3.3546022320517257,0.3354602232051726
Omega Hospital,KURNOOL,ANDHRA PRADESH,3.6,414.0,"Q3W7+5F Kurnool, Andhra Pradesh",15.770867406890616,78.03947406362373,2.07659791787487,0.207659791787487
Agraseni Hospital,KURNOOL,ANDHRA PRADESH,3.2,84.0,"R27R+VQ Kurnool, Andhra Pradesh",15.444278311724698,78.49048458684956,1.3367125342900072,0.13367125342900074
GNR Hospital,KURNOOL,ANDHRA PRADESH,4.2,100.0,"R27Q+33 Kurnool, Andhra Pradesh",15.478322619967628,78.47812322945379,1.8474461908144255,0.18474461908144257
Kims Rainbow Hospital Pvt Ltd,KURNOOL,ANDHRA PRADESH,4.7,7615.0,"R374+7R Kurnool, Andhra Pradesh",15.491595691581466,78.4669140700423,4.083823808662976,0.40838238086629763
Sai Vani Hospital,NANDYAL,ANDHRA PRADESH,3.4,52.0,"FFPG+CG Nandyala, Andhra Pradesh",15.463547925124136,78.52193415946226,1.265792175485987,0.12657921754859872
