,#,Code,District,Headquarters,Population,Area,Density
0,1,AM,Ambala,Ambala,1136784.0,1569.0,722.0
1,2,BH,Bhiwani,Bhiwani,1629109.0,5140.0,341.0
2,3,CD,Charkhi Dadri,Charkhi Dadri,502276.0,1370.0,367.0
3,4,HR,Faridabad,Faridabad,1798954.0,783.0,2298.0
4,5,FT,Fatehabad,Fatehabad,941522.0,2538.0,371.0
5,6,GU,Gurugram,Gurugram,1514085.0,1258.0,1241.0
6,7,HI,Hisar,Hisar,1742815.0,3788.0,438.0
7,8,JH,Jhajjar,Jhajjar,956907.0,1868.0,522.0
8,9,JI,Jind,Jind,1332042.0,2702.0,493.0
9,10,KT,Kaithal,Kaithal,1072861.0,2799.0,467.0
10,11,KR,Karnal,Karnal,1506323.0,2471.0,598.0
11,12,KU,Kurukshetra,Kurukshetra,964231.0,1530.0,630.0
12,13,MA,Mahendragarh,Narnaul,921680.0,1900.0,485.0
13,14,MW,Nuh,Nuh,1089406.0,1765.0,729.0
14,15,PW,Palwal,Palwal,1040493.0,1367.0,761.0
15,16,PK,Panchkula,Panchkula,558890.0,816.0,622.0
16,17,PP,Panipat,Panipat,1202811.0,1250.0,949.0
17,18,RE,Rewari,Rewari,896129.0,1559.0,562.0
18,19,RO,Rohtak,Rohtak,1058683.0,1668.0,607.0
19,20,SI,Sirsa,Sirsa,1295114.0,4276.0,303.0
20,21,SNP,Sonipat,Sonipat,1480080.0,2260.0,697.0
21,22,YN,Yamunanagar,Yamunanagar,1214162.0,1756.0,687.0
22,1,BI,Bilaspur,Bilaspur,382056.0,1167.0,327.0
23,2,CH,Chamba,Chamba,518844.0,6528.0,80.0
24,3,HA,Hamirpur,Hamirpur,454293.0,1118.0,406.0
25,4,KA,Kangra,Dharamshala,1507223.0,5739.0,263.0
26,5,KI,Kinnaur,Reckong Peo,84298.0,6401.0,13.0
27,6,KU,Kullu,Kullu,437474.0,5503.0,79.0
28,7,LH,Lahaul and Spiti,Keylong,18528.0,7835.0,2.3
29,8,MA,Mandi,Mandi,999518.0,3950.0,253.0
30,9,SH,Shimla,Shimla,813384.0,5131.0,159.0
31,10,SI,Sirmaur,Nahan,530164.0,2825.0,188.0
32,11,SO,Solan,Solan,576670.0,1936.0,298.0
33,12,UN,Una,Una,521057.0,1540.0,328.0
34,1,BO,Bokaro,Bokaro,2061918.0,2883.0,716.0
35,2,CH,Chatra,Chatra,1042304.0,3700.0,275.0
36,3,DE,Deoghar,Deoghar,1491879.0,2479.0,602.0
37,4,DH,Dhanbad,Dhanbad,2682662.0,2040.0,1316.0
38,5,DU,Dumka,Dumka,1321096.0,4404.0,300.0
39,6,ES,East Singhbhum,Jamshedpur,2291032.0,3562.0,648.0
40,7,GA,Garhwa,Garhwa,1322387.0,4064.0,327.0
41,8,GI,Giridih,Giridih,2445203.0,4887.0,497.0
42,9,GO,Godda,Godda,1311382.0,2110.0,622.0
43,10,GU,Gumla,Gumla,1025656.0,5360.0,191.0
44,11,HA,Hazaribag,Hazaribag,1734495.0,3555.0,488.0
45,12,JA,Jamtara,Jamtara,790207.0,1802.0,439.0
46,13,KH,Khunti,Khunti,530299.0,2535.0,210.0
47,14,KO,Koderma,Koderma,716259.0,2540.0,282.0
48,15,LA,Latehar,Latehar,725673.0,3630.0,200.0
49,16,LO,Lohardaga,Lohardaga,461738.0,1502.0,307.0
50,17,PK,Pakur,Pakur,899200.0,1805.0,498.0
51,18,PL,Palamu,Daltonganj,1936319.0,4393.0,442.0
52,19,RM,Ramgarh,Ramgarh,949159.0,1341.0,708.0
53,20,RA,Ranchi,Ranchi,2912022.0,5097.0,572.0
54,21,SA,Sahibganj,Sahebganj,1150038.0,2063.0,558.0
55,22,SK,Seraikela-Kharsawan,Seraikela,1063458.0,2657.0,401.0
56,23,SI,Simdega,Simdega,599813.0,3750.0,160.0
57,24,WS,West Singhbhum,Chaibasa,1501619.0,7224.0,209.0
