Hospital Name,Address,CITY,STATE,PPN / NON PPN
Amrut Hospitaland Research Centre,"Alandi Markel Road, Infront Of Tjsb Bank,,Markal Road,,Tal - 
KhedNIL",PUNE,MAHARASHTRA,PPN
Anand Hospital Chakan,"Balaji Tower,Mahatma Phule Chowk,,Tal Khed Balaji 
Tower,ChakanNIL",PUNE,MAHARASHTRA,PPN
Anand Hospital (Pune),"P M T Terminus,,Pune Nasik Road,,Bhosari",Pune,MAHARASHTRA,PPN
Ankur Multispeciality Hospital-Pune,"Sr No 40,,Keshav Nagar,,MundwaPune",PUNE,MAHARASHTRA,PPN
Astha Hospital (Pcmc),"Malu Trade Centre, Plot No 25,,Near Lok Seva Petrol Pump, 
Spine Road, Pcntdc,Near Tata Motors,NIL",PUNE,MAHARASHTRA,PPN
Care Multispeciality Hospital,"Pune Nagar Road, Kolte Arcade,Wagholi, Haveli(Tal),NIL",PUNE,MAHARASHTRA,PPN
Chaitanya Superspeciality Hospital,"Bhoir Colony, Near Ramkrishna More Sabhagruh,,Opp Of 
Tata Motors Gate,",Pune,MAHARASHTRA,PPN
Chavan Hospital,"54, Stadium Road, Vastu Udyog, Ajmera, Pimpri,Chavan 
Hospital Bus StopNIL",PUNE,MAHARASHTRA,PPN
Columbia Asia Hospital Pvt Ltd,"22/ 2a, Near Nyati Empire,,Near Nyati Empire, Ahead Of 
Hotel Radisson,,Kharadi Bypass Road,",Pune,MAHARASHTRA,PPN
Deenanath Mangeshkar Hospital,"8/13- 2, Erandwane,,Near Himalya Society,,Erandwane,NIL",PUNE,MAHARASHTRA,PPN
Deendayal Memorial Hospital,"926, Fergusson College Road,,,PuneNIL",PUNE,MAHARASHTRA,PPN
Dr Khade Superspeciality Hospital-Pune,"Bija Complex, 1st Floor, Near Chakan S.T Stand,,Old Pune-
Nashik Road, Tal K,Off Holkar Marg Tidke ColonyNIL",PUNE,MAHARASHTRA,PPN
Golden Care Hospital,"S.No. 117/3, Bhumkar Wasti,,Hinjewadi Road, Wakad,,",Pune,MAHARASHTRA,PPN
Hardikar Hospital,"1160/61,Ganeshkhind Road,,Shivaji Nagar,,Pune",Pune,MAHARASHTRA,PPN
Imax Multyspeciality Hospital,"Pune-Nagar Road Kesanand Phata Chowk,,Sant Tukaram 
Nagar,Tal Haweli,,Waqgholi",Pune,MAHARASHTRA,PPN
Inlaks And Budhrani Hospital,"Sadhu Vaswani Medical Complex,,7-9, Koregaon 
Park,,PuneNIL",PUNE,MAHARASHTRA,PPN
"Jehangir Hospital And Medical Research 
Centre","32, Sassoon Road I,,NIL",PUNE,MAHARASHTRA,PPN
Kedarnath General Hospital,"1st Floor, Tirupati Complex,,Opposite Mahalaxmi Vihar, 
Pune - Alandi Road,Vishrantwadi,",Pune,MAHARASHTRA,PPN
Kem Hospital (Pune),"489,Sardar Moodliar Road,,Rasta Peth,PuneNIL",PUNE,MAHARASHTRA,PPN
Khaire Hospital,"Chaphekar Chowk, Station Road, 
Chinchwadgaon,,ChinchwadgaonNIL",PUNE,MAHARASHTRA,PPN
Lifepoint Multispeciality Hospital,"145/ 1, Mumbai-Bengaluru Highway,,Near Hotel 
Sayaji,,Wakad",Pune,MAHARASHTRA,PPN
Lokmanya Hospital(Chincwad),"Near Chinchwad Railway Station,,Sr No. 314/B,Telco 
Road,,ChinchwadNIL",PUNE,MAHARASHTRA,PPN
"Mankikar Hospital For Children And 
Laboratory","D M Chambers, Above Repee Co-Op Bank,,Pune Nashik 
Road,,BhosariNIL",PUNE,MAHARASHTRA,PPN
"Maxcare Hospital Multi Speciality And 
Critical Care Centre","Pimple Saudagar,,Opp Hotel Swaraj Garden,,Seeta 
Plaza,NIL",PUNE,MAHARASHTRA,PPN
Medilife Multispeciality Hospital And Icu,"Near Jyotiba Temple,,Alponsa School Road, Vijay 
Nagar,,KalewadiNIL",PUNE,MAHARASHTRA,PPN
"Metro Multi Speciality Hospital And I.C.U. Saundarya Colony,,Nakhate Wasti, Rahatni Pimpri,,Next To","Hotel Sitara,",Pune,MAHARASHTRA,PPN
Moraya Hospital,"Gauri Apt., Dapodi,,Pimplegurav Road,,Dapodi",Pune,MAHARASHTRA,PPN
Navkar Multispeciality Hospital,"293, Pune Nashik Highway, Behind Indian Overseas 
Bank,,Talegaon Chowk, Chakan,,Khed",Pune,MAHARASHTRA,PPN
