,Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude,Effective Rating,density
0,"SV Hospital (A Unit Of Healthcare 
Alliance)",ANANTPUR,ANDHRA PRADESH,4.1,228.5,,14.6554375,77.5814929,2.134461682575174,
1,Kims Saveera Hospital Pvt Ltd,ANANTPUR,ANDHRA PRADESH,4.9,19172.0,"MH4M+5J Anantapur, Andhra Pradesh",14.6554375,77.5814929,4.707686679547035,
2,Aashraya Multi Specialty Hospital,CHITOOR,ANDHRA PRADESH,3.9,139.0,"64G5+PC Chittoor, Andhra Pradesh",13.2268125,79.1059929,1.8364644538241095,273.23
3,Aragonda Apollo Hospitals,Chittoor,ANDHRA PRADESH,4.0,92.0,"7XM4+37 Aragonda, Andhra Pradesh",13.2826875,78.9531179,1.7235828680974687,273.23
4,Apollo Samudra Hospitals(Kakinada),East Godavari,ANDHRA PRADESH,4.8,8090.0,"X66P+68 Kakinada, Andhra Pradesh",16.9605625,82.2332429,4.200876465403183,715.46
5,Swatantra Hospitals Pvt Ltd,East Godavari,ANDHRA PRADESH,4.4,467.0,"2Q7H+P2 Rajamahendravaram, Andhra Pradesh",16.2945625,80.4466179,2.605562095987805,715.46
6,Prof D Ramakotaiah Children Hospital,GUNTUR,ANDHRA PRADESH,4.8,1121.0,"7CVX+RM Guntur, Andhra Pradesh",16.2945625,80.4466179,3.263523627660283,855.9
7,Padmavathy Superspeciality Hospital,GUNTUR,ANDHRA PRADESH,4.5,479.0,,16.2606875,80.0483679,2.6775979637639704,855.9
8,Sri Datta Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.6,940.0,"62JW+79 Narasaraopeta, Andhra Pradesh",16.2606875,80.0483679,3.044698039908695,855.9
9,Sri Vasudha Hospitals,GUNTUR,ANDHRA PRADESH,4.1,35.0,"7FX2+78 Guntur, Andhra Pradesh",16.2981875,80.4482429,1.383757122412847,855.9
10,Tulasi Multi Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.8,1989.0,"7FX3+CM Guntur, Andhra Pradesh",16.2981875,80.4482429,3.535396928927314,855.9
11,Sravani Hospital,GUNTUR,ANDHRA PRADESH,4.3,439.0,"7FW2+PH Guntur, Andhra Pradesh",16.2981835,80.4096984,2.5185658379136733,855.9
12,Vedanta Hospitals,GUNTUR,ANDHRA PRADESH,4.0,392.0,"8F47+VC Guntur, Andhra Pradesh",16.2981835,80.4096984,2.2934078019866377,855.9
13,NRI General Hospital,GUNTUR,ANDHRA PRADESH,3.0,599.0,"CH75+X26 Guntur, Andhra Pradesh",16.4149125,80.554946,1.8283970828424705,855.9
14,St Joseph General Hospital,GUNTUR,ANDHRA PRADESH,3.1,211.0,"7CXR+2F3 Guntur, Andhra Pradesh",16.2975125,80.4386023,1.5728463597024904,855.9
15,Palnadu Hospitals,GUNTUR,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh",16.2975125,80.4386023,0.8140092439209872,855.9
16,Vunnam Hospitals,GUNTUR,ANDHRA PRADESH,3.4,76.0,"FVHV+M5 Piduguralla, Andhra Pradesh",16.4791875,79.8903679,1.391319821523907,855.9
17,Sri Balaji Hospital Guntur,GUNTUR,ANDHRA PRADESH,4.8,792.0,"7FX2+C6 Guntur, Andhra Pradesh",16.2985625,80.4479929,3.098866318329104,855.9
18,A1 Hospitals,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh",16.2985625,80.4479929,2.8215218116280347,855.9
19,Praja Vidyasala Multi Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.7,317.0,"8CC7+2P Guntur, Andhra Pradesh",16.3200625,80.4117429,2.6083674120804843,855.9
20,Help Hospital,GUNTUR,ANDHRA PRADESH,4.4,281.0,"8C3V+VQ Guntur, Andhra Pradesh",16.3046875,80.4418679,2.385249780618317,855.9
21,Sri Srinivasa Mother and Child Hospital,GUNTUR,ANDHRA PRADESH,4.0,34.0,"62QW+4H Narasaraopeta, Andhra Pradesh",16.2378125,80.0438679,1.33719768719334,855.9
22,Amar Orthopaedic Hospital,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh",16.2979375,80.4494929,2.8215218116280347,855.9
23,Amma Children Hospital,GUNTUR,ANDHRA PRADESH,4.3,116.0,"7FW3+J5 Guntur, Andhra Pradesh",16.2965625,80.4503679,1.955566841328208,855.9
24,Aruna Hospital(Tenali),Guntur,ANDHRA PRADESH,4.3,15.0,,16.2980625,80.4424929,1.1099275476182342,855.9
25,C V R Hospital,Guntur,ANDHRA PRADESH,3.3,122.0,"7CXW+62 Guntur, Andhra Pradesh",16.2980625,80.4424929,1.5011631592464154,855.9
26,Coastal Care Hospital,Guntur,ANDHRA PRADESH,4.6,443.0,"7FX4+36 Guntur, Andhra Pradesh",16.2980625,80.4424929,2.703174620656601,855.9
