Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
East Point Hospital (Banglore),Bangalore,KARNATAKA,4.0,1135,"3P38+FV Bengaluru, Karnataka"
Essential Hospital,Bangalore,KARNATAKA,4.0,393,"XGF5+WR Bengaluru, Karnataka"
Fortis Hospitals Cunningham Road,BANGALORE,KARNATAKA,4.6,4792,"XHQV+7P Bengaluru, Karnataka"
Fortis Hospitals Ltd Bannerghatta,BANGALORE,KARNATAKA,4.7,18633,"VHVX+WC Bengaluru, Karnataka"
Fortis Hospitals Ltd Nagarbhavi,BANGALORE,KARNATAKA,4.6,6052,"XG56+WG Bengaluru, Karnataka"
Gia Hospital,Bangalore,KARNATAKA,2.3,6,"XG7R+JX Bengaluru, Karnataka"
Gleneaglas Global Hospitals,BANGALORE,KARNATAKA,4.2,160,"XH8X+5X Bengaluru, Karnataka"
Green City Hospital,Bangalore,KARNATAKA,4.1,450,"WH4P+73 Bengaluru, Karnataka"
"Gunasheela Surgicals And Maternity 
Hospital",BANGALORE,KARNATAKA,4.1,536,"WHRG+3H Bengaluru, Karnataka"
H. K. Hospital,Bangalore,KARNATAKA,4.0,147,"WF5H+C9 Bengaluru, Karnataka"
Hitech Kidney Stone Hospital,BANGALORE,KARNATAKA,3.9,36,"XHQJ+39 Bengaluru, Karnataka"
"Fortis International Hospital Ltd 
Rajajinagar",BANGALORE,KARNATAKA,4.6,2863,"2G2X+VJ Bengaluru, Karnataka"
J P Hospital (Nelamngala),Bangalore,KARNATAKA,3.3,32,
K L Hospitals Pvt Ltd,Bangalore,KARNATAKA,1.8,8,"2MCH+97 Bengaluru, Karnataka"
KK Hospital,BANGALORE,KARNATAKA,4.1,662,"3HWQ+RQ Bengaluru, Karnataka"
"Kangaroo Care Maternity And Children 
Hospital",BANGALORE,KARNATAKA,4.2,2356,
Karanth Speciality Hospital,Bangalore,KARNATAKA,4.7,1184,"VJM3+Q7 Bengaluru, Karnataka"
Kethams Hospital Pvt Ltd (Bangalore),Bangalore,KARNATAKA,2.6,197,
Kims Hospital And Research Centre,Bangalore,KARNATAKA,3.1,320,"XH4F+JR Bengaluru, Karnataka"
Koshys Hospital ( Bangalore),BANGALORE,KARNATAKA,4.1,2374,"2MCG+7C Bengaluru, Karnataka"
Leela Hospital And Diagnostic Center,Bangalore,KARNATAKA,3.7,7,"2H29+3Q Bengaluru, Karnataka"
Leena Multispeciality Hospital,BANGALORE,KARNATAKA,3.9,183,"6PV7+37 Devanahalli, Southegowdanahalli, Karnataka"
Maharaja Agrasen Hospital Banglore,BANGALORE,KARNATAKA,4.1,778,"WH84+92 Padmanabhanagar, Bengaluru, Karnataka"
"Maiya Multyspeciality Hospital (Bangalore 
)",Bangalore,KARNATAKA,4.3,369,"WHVP+26 Bengaluru, Karnataka"
Mamatha Hospital,Bangalore,KARNATAKA,3.0,85,"WHCR+5W Bengaluru, Karnataka"
Manasa Hospital(Gauribidanur),Bangalore,KARNATAKA,3.3,100,"JG47+FP Gauribidanur, Karnataka"
