Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code
"SV Hospital (A Unit Of Healthcare 
Alliance)",ANANTPUR,ANDHRA PRADESH,,,
Kims Saveera Hospital Pvt Ltd,ANANTPUR,ANDHRA PRADESH,4.9,19172.0,"MH4M+5J Anantapur, Andhra Pradesh"
Aashraya Multi Specialty Hospital,CHITOOR,ANDHRA PRADESH,3.9,139.0,"64G5+PC Chittoor, Andhra Pradesh"
Aragonda Apollo Hospitals,Chittoor,ANDHRA PRADESH,4.0,92.0,"7XM4+37 Aragonda, Andhra Pradesh"
Apollo Samudra Hospitals(Kakinada),East Godavari,ANDHRA PRADESH,4.8,8090.0,"X66P+68 Kakinada, Andhra Pradesh"
Swatantra Hospitals Pvt Ltd,East Godavari,ANDHRA PRADESH,4.4,467.0,"2Q7H+P2 Rajamahendravaram, Andhra Pradesh"
Prof D Ramakotaiah Children Hospital,GUNTUR,ANDHRA PRADESH,4.8,1121.0,"7CVX+RM Guntur, Andhra Pradesh"
Padmavathy Superspeciality Hospital,GUNTUR,ANDHRA PRADESH,4.5,479.0,
Sri Datta Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.6,940.0,"62JW+79 Narasaraopeta, Andhra Pradesh"
Sri Vasudha Hospitals,GUNTUR,ANDHRA PRADESH,4.1,35.0,"7FX2+78 Guntur, Andhra Pradesh"
Tulasi Multi Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.8,1989.0,"7FX3+CM Guntur, Andhra Pradesh"
Sravani Hospital,GUNTUR,ANDHRA PRADESH,4.3,439.0,"7FW2+PH Guntur, Andhra Pradesh"
Vedanta Hospitals,GUNTUR,ANDHRA PRADESH,4.0,392.0,"8F47+VC Guntur, Andhra Pradesh"
NRI General Hospital,GUNTUR,ANDHRA PRADESH,3.0,599.0,"CH75+X26 Guntur, Andhra Pradesh"
St Joseph General Hospital,GUNTUR,ANDHRA PRADESH,3.1,211.0,"7CXR+2F3 Guntur, Andhra Pradesh"
Palnadu Hospitals,GUNTUR,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh"
Vunnam Hospitals,GUNTUR,ANDHRA PRADESH,3.4,76.0,"FVHV+M5 Piduguralla, Andhra Pradesh"
Sri Balaji Hospital Guntur,GUNTUR,ANDHRA PRADESH,4.8,792.0,"7FX2+C6 Guntur, Andhra Pradesh"
A1 Hospitals,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh"
Praja Vidyasala Multi Specialty Hospital,GUNTUR,ANDHRA PRADESH,4.7,317.0,"8CC7+2P Guntur, Andhra Pradesh"
Help Hospital,GUNTUR,ANDHRA PRADESH,4.4,281.0,"8C3V+VQ Guntur, Andhra Pradesh"
Sri Srinivasa Mother and Child Hospital,GUNTUR,ANDHRA PRADESH,4.0,34.0,"62QW+4H Narasaraopeta, Andhra Pradesh"
Amar Orthopaedic Hospital,GUNTUR,ANDHRA PRADESH,4.6,575.0,"7FX2+5R Guntur, Andhra Pradesh"
Amma Children Hospital,GUNTUR,ANDHRA PRADESH,4.3,116.0,"7FW3+J5 Guntur, Andhra Pradesh"
Aruna Hospital(Tenali),Guntur,ANDHRA PRADESH,4.3,15.0,
C V R Hospital,Guntur,ANDHRA PRADESH,3.3,122.0,"7CXW+62 Guntur, Andhra Pradesh"
Coastal Care Hospital,Guntur,ANDHRA PRADESH,4.6,443.0,"7FX4+36 Guntur, Andhra Pradesh"
Dhulipalla Hospital,Guntur,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh"
Health Hospitals,GUNTUR,ANDHRA PRADESH,4.8,19688.0,"7CVV+72 Guntur, Andhra Pradesh"
Hyma Hospital,Guntur,ANDHRA PRADESH,3.2,161.0,"8C59+5H5 Guntur, Andhra Pradesh"
J K Hospital ( Guntur ),Guntur,ANDHRA PRADESH,5.0,2.0,"8C7V+G3 Guntur, Andhra Pradesh"
"Karumuri Super Speciality Hospital (P) 
Ltd.",Guntur,ANDHRA PRADESH,2.7,168.0,"7FX3+CG Guntur, Andhra Pradesh"
Lakshmi Srinivasa Hospital,Guntur,ANDHRA PRADESH,4.3,28.0,"7FX4+CW Guntur, Andhra Pradesh"
Lalitha Super Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.4,2171.0,"7CWX+5X Guntur, Andhra Pradesh"
M N Hospital,Guntur,ANDHRA PRADESH,2.4,76.0,"8C2M+XH Guntur, Andhra Pradesh"
"Mother Teresa Orthopaedic And Accident 
Care Hospital",Guntur,ANDHRA PRADESH,3.9,9.0,
Sree Prathima Super Speciality Hospital,Guntur,ANDHRA PRADESH,4.5,479.0,"7FX4+R8M Guntur, Andhra Pradesh"
Star Hospital,Guntur,ANDHRA PRADESH,4.0,45.0,"7FX3+PF Guntur, Andhra Pradesh"
V Cardiac And Multi Speciality Hospital,Guntur,ANDHRA PRADESH,5.0,11.0,"7CWX+QV Guntur, Andhra Pradesh"
Varababu Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,3.2,13.0,"62HW+6J Narasaraopeta, Andhra Pradesh"
Omega Hospital,GUNTUR,ANDHRA PRADESH,4.1,439.0,"8F8C+GR Guntur, Andhra Pradesh"
Blossoms Childrens Hospital,GUNTUR,ANDHRA PRADESH,4.5,859.0,"7FX2+HJ Guntur, Andhra Pradesh"
Lahiri Hospital,GUNTUR,ANDHRA PRADESH,2.8,32.0,
Bharathi Hospital,KADAPA,ANDHRA PRADESH,4.0,143.0,"FR6F+8F Kadapa, Andhra Pradesh"
Mrudula Hospital,KADAPA,ANDHRA PRADESH,3.7,180.0,"FR6F+VM Kadapa, Andhra Pradesh"
Vidyasagar Hospital,KADAPA,ANDHRA PRADESH,4.9,1889.0,"FR7G+28 Kadapa, Andhra Pradesh"
Suraksha Super Speciality Hospital,KADAPA,ANDHRA PRADESH,3.3,57.0,"FR9J+CR Kadapa, Andhra Pradesh"
Sri Srinivasa Hospital,KADAPA,ANDHRA PRADESH,3.4,78.0,"FRFF+36 Kadapa, Andhra Pradesh"
Kadapa Hospitals,KADAPA,ANDHRA PRADESH,2.9,114.0,"FRGF+2H Kadapa, Andhra Pradesh"
Hope International Hospital,Kakinada,ANDHRA PRADESH,4.8,5899.0,"26FJ+PW Kakinada, Andhra Pradesh"
"Trust Hospital - A Unit Of Sarvottam 
Healthcare Pvt Ltd",KAKINADA,ANDHRA PRADESH,4.8,1841.0,"X6XH+97 Kakinada, Andhra Pradesh"
"Omni Hospital (A Unit Of Incor 
Padmachandra Hospitals Pvt Ltd)",Kurnool,ANDHRA PRADESH,4.7,1584.0,"R2FR+CJ Kurnool, Andhra Pradesh"
Omega Hospital,KURNOOL,ANDHRA PRADESH,3.6,414.0,"Q3W7+5F Kurnool, Andhra Pradesh"
Agraseni Hospital,KURNOOL,ANDHRA PRADESH,3.2,84.0,"R27R+VQ Kurnool, Andhra Pradesh"
GNR Hospital,KURNOOL,ANDHRA PRADESH,4.2,100.0,"R27Q+33 Kurnool, Andhra Pradesh"
Kims Rainbow Hospital Pvt Ltd,KURNOOL,ANDHRA PRADESH,4.7,7615.0,"R374+7R Kurnool, Andhra Pradesh"
Sai Vani Hospital,NANDYAL,ANDHRA PRADESH,3.4,52.0,"FFPG+CG Nandyala, Andhra Pradesh"
Sree Sai Multispecialty Hospital,NANDYAL,ANDHRA PRADESH,3.4,25.0,"FFMP+WX Nandyala, Andhra Pradesh"
Santhiram General Hospital,Nandyal,ANDHRA PRADESH,3.7,232.0,"FCV8+2X Nandyala, Andhra Pradesh"
Sri Narmada Hospital,NANDYAL,ANDHRA PRADESH,4.1,26.0,"FFPR+C8 Nandyala, Andhra Pradesh"
Maruthi Hospital,NELAMANGALA,ANDHRA PRADESH,4.0,73.0,"5C8X+RJ Nellimarla, Andhra Pradesh"
Vijaya Krishna Hospital Pvt Ltd,NELLORE,ANDHRA PRADESH,3.5,66.0,"CXXM+J7 Nellore, Andhra Pradesh"
RSR Hospital,NELLORE,ANDHRA PRADESH,3.9,67.0,"CXXM+FW Nellore, Andhra Pradesh"
Rudra Multi Speciality Hospital,NELLORE,ANDHRA PRADESH,4.9,105.0,"FX2M+6V Nellore, Andhra Pradesh"
KBR Orthopedic Hospital,NELLORE,ANDHRA PRADESH,3.9,21.0,"FX3P+26 Nellore, Andhra Pradesh"
Simhapuri Hospitals,NELLORE,ANDHRA PRADESH,4.5,20.0,"CXPX+MP Nellore, Andhra Pradesh"
Apollo Hospital Nellore,Nellore,ANDHRA PRADESH,4.9,13062.0,"CXQV+82 Nellore, Andhra Pradesh"
"Kidz Rainbow Children And Baby Hospital Ramesh Reddy Nagar,Near Rtc Bus Stand.,,",Nellore,ANDHRA PRADESH,4.1,90.0,
Lotus Hospital(Nellore),Nellore,ANDHRA PRADESH,4.7,1845.0,"CXXM+CV Nellore, Andhra Pradesh"
Mydhili Hospital,Nellore,ANDHRA PRADESH,4.0,151.0,"4VW2+32 Gudur, Andhra Pradesh"
"Rainbow Super Speciality 
Hospital(Nellore)",Nellore,ANDHRA PRADESH,3.6,132.0,
"Sai Suresh Children Surgical And 
Meternity Hospital",Nellore,ANDHRA PRADESH,4.6,15.0,"CXXP+V2 Nellore, Andhra Pradesh"
St. Josephs Hospital.,Nellore,ANDHRA PRADESH,,,
Venkataramana Hospital,Nellore,ANDHRA PRADESH,,199.0,"FX2P+P7 Nellore, Andhra Pradesh"
Vijaya Care Hospital,Nellore,ANDHRA PRADESH,3.0,29.0,"FX2Q+V4 Nellore, Andhra Pradesh"
Reshma Mutilspeciality Hospital(RMH),NELLORE,ANDHRA PRADESH,4.3,82.0,"FX2P+J8 Nellore, Andhra Pradesh"
Chaitanya Hospital Ongole,ONGOLE,ANDHRA PRADESH,3.6,35.0,"G26P+W7 Ongole, Andhra Pradesh"
Zachariah's Hospital,ONGOLE,ANDHRA PRADESH,4.4,40.0,"F2XV+C9 Ongole, Andhra Pradesh"
Srinivasa Hospital,ONGOLE,ANDHRA PRADESH,3.0,54.0,"G26Q+JP Ongole, Andhra Pradesh"
Sri Prasanthi Hospital,ONGOLE,ANDHRA PRADESH,4.7,193.0,"G26R+J8 Ongole, Andhra Pradesh"
Prasad Multi Speciality Hospital,ONGOLE,ANDHRA PRADESH,3.9,43.0,"F2WX+VC Ongole, Andhra Pradesh"
Manasa Mother and Child Hospital,ONGOLE,ANDHRA PRADESH,3.6,103.0,"G26Q+VQ Ongole, Andhra Pradesh"
BGR Hospital,PRODDUTUR,ANDHRA PRADESH,4.4,10.0,"PGXX+H2 Proddatur, Andhra Pradesh"
Shree Madan Multispecialty Hospital,PRODDUTUR,ANDHRA PRADESH,3.7,36.0,
Svr Hospital (Proddatur),PRODDUTUR,ANDHRA PRADESH,3.5,36.0,"QG2X+Q7 Proddatur, Andhra Pradesh"
Chandrakala Super Specialty Hospital,RAJAHMUNDRY,ANDHRA PRADESH,4.9,212.0,"2Q4P+W9 Rajamahendravaram, Andhra Pradesh"
Kamala Hospital,SRIKAKULAM,ANDHRA PRADESH,3.5,26.0,
Mother Vannini Hospital,TADEPALLIGUDEM,ANDHRA PRADESH,4.0,41.0,
"Geeta Hospitals(Sri Geeta Health Care 
Pvt Ltd)",TANUKU,ANDHRA PRADESH,3.7,86.0,"QM4G+VX Tanuku, Andhra Pradesh"
Sri Aditya Hospital,TANUKU,ANDHRA PRADESH,4.6,37.0,
Nisa Hospital,TANUKU,ANDHRA PRADESH,4.4,132.0,"QM4M+F3 Tanuku, Andhra Pradesh"
"Gayathri Hospitals ( A Unit Of 
J.D.Hospital Pvt.Ltd )",TIRUPATI,ANDHRA PRADESH,3.9,91.0,"JCPC+QG Tirupati, Andhra Pradesh"
"Venkataramana Heart and Maternity 
Hospital",TIRUPATI,ANDHRA PRADESH,4.3,1080.0,"JCPC+42 Tirupati, Andhra Pradesh"
Sri Sai Multi Speciality Hospital,TIRUPATI,ANDHRA PRADESH,4.5,92.0,"JCQ7+8M Tirupati, Andhra Pradesh"
Gopi Madhavi Hospital,TIRUPATI,ANDHRA PRADESH,4.2,90.0,"JCPC+25 Tirupati, Andhra Pradesh"
Care Plus Hospitals,TIRUPATI,ANDHRA PRADESH,4.6,57.0,"JC97+M9 Tirupati, Andhra Pradesh"
Suraksha Hospital Tirupati,TIRUPATI,ANDHRA PRADESH,4.2,132.0,"JCRM+X3 Tirupati, Andhra Pradesh"
Fortuna Women & Orthocare Hospital,TIRUPATI,ANDHRA PRADESH,3.6,203.0,"JCF6+3H Tirupati, Andhra Pradesh"
Elite Multi Specialiy Hospital Pvt Ltd,Tirupati,ANDHRA PRADESH,4.5,343.0,"JCPC+HP Tirupati, Andhra Pradesh"
"Sree Ramadevi Multi Super Speciality 
Hospital",Tirupati,ANDHRA PRADESH,4.3,1449.0,"JCQ9+52 Tirupati, Andhra Pradesh"
Vidyu Hemanth Hospital Tirupati,Tirupati,ANDHRA PRADESH,4.4,59.0,"JCPC+99 Tirupati, Andhra Pradesh"
Amma Children Hospital,TIRUPATI,ANDHRA PRADESH,3.8,133.0,"JCQF+5M Tirupati, Andhra Pradesh"
Helios Hospital,TIRUPATI,ANDHRA PRADESH,4.7,1239.0,"JCQF+8G Tirupati, Andhra Pradesh"
"Narayanadri Hospital & Research 
Institute PVT LTD",TIRUPATI,ANDHRA PRADESH,4.9,9953.0,"JFH7+9G Tirupati, Andhra Pradesh"
Andhra Hospitals,Vijayawada,ANDHRA PRADESH,4.6,2201.0,"GJ6H+CQ Vijayawada, Andhra Pradesh"
Anu Hospital,Vijayawada,ANDHRA PRADESH,4.2,819.0,
Boppana Superspeciality Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh"
